Norm,Art,Ap,Sub,Nº,Descripció,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
RGC,2,,,1,COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES DESTORBA INDEGUDAMENT LA CIRCULACIÓ ,6,100,90,L,N,0,,5544
RGC,2,,,2,COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES CAUSA PERILL A LES PERSONES ,6,100,90,L,N,0,,5592
RGC,2,,,3,COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES CAUSEN MOLÈSTIES INNECESSÀRIES A LES PERSONES ,6,100,90,L,N,0,,5593
RGC,2,,,4,COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES CAUSEN PERJUDICIS A LES PERSONES ,6,100,90,L,N,0,,5594
RGC,2,,,5,COMPORTAR-SE L'USUARI DE LA VIA DE MANERA QUE ES CAUSEN DANYS ALS BÉNS ,6,100,90,L,N,0,,5595
RGC,3,1,,13,CONDUIR UNA BICICLETA DE FORMA NEGLIGENT CREANT PERILL CERT I RELLEVANT PER A LA RESTA D'USUARIS DE LA VIA ,200,200,200,L,N,0,,12601
RGC,3,1,,14,CONDUIR DE FORMA NEGLIGENT  ,200,200,200,L,N,0,,13039
RGC,3,1,,15,CONDUIR DE FORMA NEGLIGENT CREANT PERILL CERT I RELLEVANT PER A LA RESTA D'USUARIS DE LA VIA ,200,200,200,L,N,0,,13042
RGC,3,1,,16,CONDUIR DE FORMA NEGLIGENT CAUSANT ACCIDENT  ,200,200,200,L,N,0,,13043
RGC,3,1,,17,CONDUIR DE FORMA NEGLIGENT CREANT UN RISC CERT I RELLEVANT PER A LA RESTA D'USUARIS DE LA VIA ,200,200,200,L,N,0,,13044
RGC,3,1,,18,"CONDUIR SENSE LA DILIGÈNCIA, PRECAUCIÓ I NO DISTRACCIÓ NECESSARIS PER EVITAR TOT DANY PROPI O ALIÈ ",200,200,200,L,N,0,,13604
RGC,3,1,,19,CONDUIR DE FORMA TEMERÀRIA  ,500,500,500,L,N,6,,14753
RGC,3,1,,21,CONDUIR UN VMP DE FORMA NEGLIGENT  ,200,200,200,L,N,0,,19623
RGC,3,1,,22,CONDUIR UN VMP DE FORMA TEMERÀRIA  ,500,500,500,L,N,0,,19629
RGC,3,1,,23,CONDUIR UNA BICICLETA DE FORMA TEMERÀRIA  ,500,500,500,L,N,0,,20561
